code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
8260,井筒屋,小売,小売業,-,スタンダード,貸借
8267,イオン,小売,小売業,TOPIX Large70,プライム,貸借
8273,イズミ,小売,小売業,TOPIX Small 1,プライム,貸借
8275,フォーバル,商社・卸売,卸売業,TOPIX Small 2,スタンダード,貸借
8276,平和堂,小売,小売業,TOPIX Small 1,プライム,貸借
8278,フジ,小売,小売業,TOPIX Small 1,プライム,貸借
8281,ゼビオホールディングス,小売,小売業,TOPIX Small 1,プライム,貸借
8282,ケーズホールディングス,小売,小売業,TOPIX Mid400,プライム,貸借
8283,ＰＡＬＴＡＣ,商社・卸売,卸売業,-,プライム,その他
8285,三谷産業,商社・卸売,卸売業,TOPIX Small 2,スタンダード,貸借
8291,日産東京販売ホールディングス,小売,小売業,-,スタンダード,貸借
8301,日本銀行,銀行,銀行業,-,スタンダード,その他
8303,ＳＢＩ新生銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8304,あおぞら銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8306,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,TOPIX Core30,プライム,貸借
8308,りそなホールディングス,銀行,銀行業,TOPIX Large70,プライム,貸借
8309,三井住友トラストグループ,銀行,銀行業,TOPIX Large70,プライム,貸借
8316,三井住友フィナンシャルグループ,銀行,銀行業,TOPIX Core30,プライム,貸借
8331,千葉銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8334,群馬銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8336,武蔵野銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8337,千葉興業銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8338,筑波銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8341,七十七銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8343,秋田銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8344,山形銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8345,岩手銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8346,東邦銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8349,東北銀行,銀行,銀行業,-,スタンダード,貸借
8354,ふくおかフィナンシャルグループ,銀行,銀行業,TOPIX Mid400,プライム,貸借
8358,スルガ銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8359,八十二長野銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8360,山梨中央銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8361,大垣共立銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8362,福井銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8364,清水銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8365,富山銀行,銀行,銀行業,-,スタンダード,貸借
8366,滋賀銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8367,南都銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8368,百五銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8370,紀陽銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
